Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (milpa),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Cuerpos de agua),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Monte),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Traspatio),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Tianguis),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (otro),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Cuantos productos obtiene de la actividad?,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
Recolección,,,,,,,,,,,9,381,group_espacio,273,45507386,5baf22e0-b5ff-4e2e-bf12-6889dec8ea46,2020-01-26T06:45:00,
,,,,,,,,Compra / venta,,,5,382,group_espacio,274,45507386,5baf22e0-b5ff-4e2e-bf12-6889dec8ea46,2020-01-26T06:45:00,
Recolección,,,,,,,,,,,1,383,group_espacio,275,45507388,a5b483fa-aac8-4211-ad72-69581a43b747,2020-01-26T06:45:08,
,,,,Otra,Cuidado de ganado y chapoleo,,,,,,0,384,group_espacio,276,45507458,8b2b6fa2-252d-43e1-98a3-782e7f0406da,2020-01-26T06:46:49,
Cultiva,,,,,,,,,,,11,385,group_espacio,277,45507460,7fda6f5d-3935-44ff-99fd-26ab43e31780,2020-01-26T06:46:58,
Cultiva,,,,,,,,,,,9,386,group_espacio,278,45507462,4d02a31a-aaba-4dc4-9695-59ea4d5bed0b,2020-01-26T06:47:09,
,,,,,,Otra,Fabricacion de muebles de madera,,,,3,387,group_espacio,279,45507465,df0e49bf-54b2-41ca-a39e-235e50abed0f,2020-01-26T06:47:18,
Cultiva,,,,,,,,,,,1,388,group_espacio,280,45507468,0c65d88b-440d-4422-8f3a-751b09415e07,2020-01-26T06:47:23,
Cultiva,,,,,,,,,,,3,389,group_espacio,281,45507470,fd82272b-6da2-416b-8426-4d375deda5f9,2020-01-26T06:47:25,
Cultiva,,,,,,,,,,,5,390,group_espacio,282,45507472,d475dc80-931b-470d-8f92-b4dd66ca4a3c,2020-01-26T06:47:27,
Cultiva,,,,,,,,,,,9,391,group_espacio,283,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Cultiva,,,,,,,,,,,12,392,group_espacio,284,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Cultiva,,,,,,,,,,,11,393,group_espacio,285,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Cultiva,,,,,,,,,,,8,394,group_espacio,286,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
,,,,,,,,,,Vacuna y cuida su ganado,1,395,group_espacio,287,46844650,feeb4fbb-9d34-40b8-b83a-1ba83736413c,2020-02-16T05:45:18,
Cultiva,,,,,,,,,,,9,396,group_espacio,288,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
