Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué producto obtiene?,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto obtiene de ${producto_espacio} al año?,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (Pesca),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (caza),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (recolección),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (compra/venta),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(cultiva),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(otro),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué porcentaje de esta actividad consume la familia?,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
Papaya,50,,,,,,,,,Otra,Pieza,,,10,1142,group_actividades,391,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Platano manzano,15,,,,,,,,,Manojos,,,,5,1143,group_actividades,391,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Platano macho,15,,,,,,,,,Manojos,,,,10,1144,group_actividades,391,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Jacube,30,,,,,,,,,Otra,Caja,,,15,1145,group_actividades,391,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Naranja,15,,,,,,,,,Otra,Costal,,,10,1146,group_actividades,391,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Caña,30,,,,,,,,,Otra,Pieza,,,1,1147,group_actividades,391,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Maiz,40,,,,,,,,,Otra,Costal,,,40,1148,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Frijol,15,,,,,,,,,Otra,Costal,,,30,1149,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Piña tampiquero,400,,,,,,,,,Otra,Pieza,,,5,1150,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Camote de tierra,5,,,,,,,,,Otra,Costal,,,10,1151,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Platano largo,20,,,,,,,,,Otra,Racimos,,,10,1152,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Platano macho,22,,,,,,,,,Otra,Racimos,,,15,1153,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Nopal criollo,5,,,,,,,,,Otra,Costal,,,10,1154,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Naranja,20,,,,,,,,,Otra,Costal,,,20,1155,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Mandarina,5,,,,,,,,,Otra,Cajas,,,10,1156,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Palmilla,100,,,,,,,,,Otra,Gruesas,,,1,1157,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Lenteja,20,,,,,,,,,Otra,Costal,,,10,1158,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Calabaza,60,,,,,,,,,Otra,Pieza,,,20,1159,group_actividades,392,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Maiz,50,,,,,,,,,Otra,Costal,,,40,1160,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Frijol,4,,,,,,,,,Otra,Costal,,,30,1161,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Platano tabasco,8,,,,,,,,,Otra,Racimos,,,10,1162,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Mandarina,1,,,,,,,,,Otra,Caja,,,100,1163,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Platano macho,5,,,,,,,,,Otra,Racimos,,,10,1164,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Platano manzano,10,,,,,,,,,Otra,Racimos,,,10,1165,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Naranja,1,,,,,,,,,Otra,Costal,,,100,1166,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Papaya,20,,,,,,,,,Otra,Pieza,,,100,1167,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Chayote,30,,,,,,,,,Otra,Caja,,,10,1168,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Calabaza,100,,,,,,,,,Otra,Pieza,,,10,1169,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Jobo,2,,,,,,,,,Otra,Cubeta,,,100,1170,group_actividades,393,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Caxtilan,350,,,,,,,,,Otra,Costal,,,30,1171,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Maiz,30,,,,,,,,,Otra,Costal,,,30,1172,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Zapote,1,,,,,,,,,Otra,Caja,,,100,1173,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Naranja,1,,,,,,,,,Otra,Costal,,,100,1174,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Platano macho,1,,,,,,,,,Otra,Racimo,,,100,1175,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Platano manzano,1,,,,,,,,,Otra,Racimo,,,100,1176,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Calabaza,200,,,,,,,,,Otra,Piezas,,,30,1177,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Nopal,1,,,,,,,,,Otra,Costal,,,100,1178,group_actividades,394,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Vaca,2,,,,,,,,,,,Piezas,,1,1179,group_actividades,395,46844650,feeb4fbb-9d34-40b8-b83a-1ba83736413c,2020-02-16T05:45:18,
Maiz,60,,,,,,,,,Otra,Costal,,,40,1180,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Naranja,10,,,,,,,,,Otra,Costal,,,10,1181,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Nopal,10,,,,,,,,,Otra,Costal,,,15,1182,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Caxtilan,40,,,,,,,,,Otra,Costal,,,30,1183,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Jacube,5,,,,,,,,,Otra,Cajas,,,100,1184,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Platano macho,15,,,,,,,,,Otra,Racimo,,,20,1185,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Platano manzano,3,,,,,,,,,Otra,Racimo,,,100,1186,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Pemuche,1,,,,,,,,,Otra,Costal,,,100,1187,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
Chile piquin,1,,,,,,,,,Otra,Cuartillo,,,100,1188,group_actividades,396,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
